mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__max_features,param_clf__C,param_clf,param_clf__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.149767827987671,0.05944639321903212,0.3068100929260254,0.023755745466101253,"(1, 2)",5000.0,2.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 5000, 'clf__C': 2.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5832040841992638,0.6656652269003289,0.643516110683205,0.6766384060342301,0.6508787124547811,0.6439805080543618,0.03249104466579968,4
4.249255800247193,0.05882933379479,0.4039782524108887,0.01724934499847607,"(1, 2)",,,"SGDClassifier(class_weight='balanced', loss='modified_huber', max_iter=2000)",0.0001,"{'tfidf__ngram_range': (1, 2), 'clf__alpha': 0.0001, 'clf': SGDClassifier(class_weight='balanced', loss='modified_huber', max_iter=2000)}",0.591540127926345,0.645383314954498,0.6167795168467497,0.6510900669634708,0.6278881195539476,0.6265362292490022,0.02135346219319633,8
3.559570789337158,0.19371561364295334,0.365740442276001,0.047774165118953923,"(1, 2)",5000.0,0.5,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 5000, 'clf__C': 0.5, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5421776503497621,0.6008072487173259,0.6298423240564275,0.6126265478079586,0.6065166319229143,0.5983940805708776,0.029744382292312178,15
4.453557395935059,0.1870971961925675,0.41390118598937986,0.009774568710248756,"(1, 2)",,,"SGDClassifier(class_weight='balanced', loss='modified_huber', max_iter=2000)",0.01,"{'tfidf__ngram_range': (1, 2), 'clf__alpha': 0.01, 'clf': SGDClassifier(class_weight='balanced', loss='modified_huber', max_iter=2000)}",0.49810276951345434,0.5738412092798371,0.5664308975284919,0.5819379560196261,0.5693589999111968,0.5579343664505212,0.03037016049713249,18
7.988653993606567,0.2012280523516417,0.4145652770996094,0.018689427858506493,"(1, 3)",10000.0,2.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 10000, 'clf__C': 2.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5901499224499895,0.6447496079773406,0.6557062116250099,0.6660118418817556,0.649014460388285,0.6411264088644761,0.02647945060160286,6
7.554294776916504,0.13362961298370873,0.43982677459716796,0.016401030665748845,"(1, 3)",5000.0,2.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'clf__C': 2.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5870483913853594,0.6575046582253594,0.6559735838885157,0.6700545710004195,0.6457720177586437,0.6432706444516596,0.029149782668444292,5
7.568645763397217,0.16555415614221353,0.4346479415893555,0.03353731536820792,"(1, 3)",5000.0,5.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'clf__C': 5.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5965884115734845,0.6896116594610678,0.6570877965801579,0.6851794530063908,0.6768615915829312,0.6610657824408065,0.034114511618739456,1
7.6911874294281,0.35425252810128965,0.4659095287322998,0.028021926485545624,"(1, 3)",5000.0,0.5,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'clf__C': 0.5, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.552834233595282,0.6048811062079178,0.6271638109101016,0.618438129109683,0.6063217369034911,0.6019278033452952,0.025875293912799507,14
8.114587211608887,0.6755358086499769,0.3649287700653076,0.02646886221351453,"(1, 2)",,2.0,"LinearSVC(class_weight='balanced', max_iter=2000)",,"{'tfidf__ngram_range': (1, 2), 'clf__C': 2.0, 'clf': LinearSVC(class_weight='balanced', max_iter=2000)}",0.5598275518803525,0.6454415662153499,0.6159562235581367,0.659275417045532,0.6403633074925699,0.6241728132383881,0.03508421228027944,9
7.657758903503418,0.10078551253490578,0.4463216781616211,0.021919313542145547,"(1, 3)",5000.0,1.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'clf__C': 1.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5801586421771409,0.6425707235449534,0.651714220228408,0.6379826471874842,0.6298314695195547,0.6284515405315082,0.025161294979442566,7
3.8282773971557615,0.1135382921933478,0.301820707321167,0.017585066700188952,"(1, 2)",10000.0,0.5,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 10000, 'clf__C': 0.5, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.5297424132543374,0.5814050488869996,0.6141749509435067,0.5947111796921009,0.5902152891775757,0.5820497763909042,0.028268319668897878,17
3.897975492477417,0.06594431683114503,0.28502445220947265,0.010055976327235334,"(1, 2)",5000.0,5.0,"LogisticRegression(class_weight='balanced', max_iter=800)",,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 5000, 'clf__C': 5.0, 'clf': LogisticRegression(class_weight='balanced', max_iter=800)}",0.6058346183935519,0.6890415803015929,0.6538282070244651,0.685989812616126,0.6636340861117839,0.659665660889504,0.030011701078093003,2
